SLF4J(W): No SLF4J providers were found.
SLF4J(W): Defaulting to no-operation (NOP) logger implementation
SLF4J(W): See https://www.slf4j.org/codes.html#noProviders for further details.

=== Probe length: 20B ===
                            N  | --- ML ablation --------------------------------------------------- | --- Baselines --------------------------------- |
Charset                        | ICU4J R%   S%  T3%  D%   A%  | juniv R%   S%  T3%  D%   A%  | NB   R%   S%  T3%  D%   A%  |
----------------------------------------------------------------------------------------------------------------------------
Big5-HKSCS              30073  |   0.0  13.9  71.6  16.4  16.6  |   0.0  44.2  44.2  46.6  46.9  |  61.1  61.1  61.2  65.1  65.1  |
EUC-JP                  37047  |   0.0   0.0  14.7   6.6   7.6  |  64.1  64.1  64.1  71.1  72.1  |  75.9  75.9  81.9  83.2  83.9  |
GB18030                 36859  |   0.2   0.2   7.8   6.0   6.7  |  45.8  45.8  45.8  51.7  52.5  |  77.5  77.5  78.0  83.5  83.7  |
IBM1047                 31450  |   0.0  92.0  98.3  90.9  91.5  |   0.0   0.0   0.0   0.0   0.0  |  19.5  71.4  71.8  71.0  71.1  |
IBM420-ltr              36865  |   0.0  83.6  91.1   0.0   0.0  |   0.0   0.0   0.0   0.0   0.0  |  67.7  70.5  70.9  67.7  67.7  |
IBM420-rtl              37022  |   0.0  88.2  93.6   0.0   0.0  |   0.0   0.0   0.0   0.0   0.0  |  70.9  73.0  73.4  70.9  70.9  |
IBM424-ltr              35011  |   0.0  74.6  85.3   0.0   0.0  |   0.0   0.0   0.0   0.0   0.0  |  13.4  14.4  15.5  13.4  13.4  |
IBM424-rtl              33092  |   0.0  78.8  87.3   0.0   0.0  |   0.0   0.0   0.0   0.0   0.0  |  13.5  14.6  15.5  13.5  13.5  |
IBM500                  31419  |  92.0  92.0  98.2  92.0  92.0  |   0.0   0.0   0.0   0.0   0.0  |  51.9  71.1  71.5  70.9  71.1  |
IBM850                  30465  |   0.0   0.0   0.0  57.1  57.9  |   0.0   0.0   0.0  58.0  58.9  |   5.8   5.8   7.5  64.2  64.2  |
IBM852                  35340  |   0.0   0.0   0.0  39.8  39.9  |   0.0   0.0   0.0  41.6  41.9  |  11.8  11.8  13.6  53.5  53.6  |
IBM855                  36704  |   0.0   0.0   0.0   1.7   1.7  |  93.2  93.2  93.2  94.9  95.0  |  71.0  71.0  72.9  72.8  72.8  |
IBM866                  36979  |  52.3  52.3  79.4  54.5  54.5  |  94.6  94.6  94.6  96.9  96.9  |  29.3  29.3  29.8  31.6  31.6  |
ISO-8859-16             32896  |   0.0   0.0   0.0  84.2  84.6  |   0.0   0.0   0.0  82.3  82.9  |   4.2   4.2   5.8  61.6  61.6  |
ISO-8859-3              35637  |   0.0   0.0   0.0  50.9  50.9  |   0.0   0.0   0.0  53.3  53.3  |   9.5   9.5  10.2  61.8  61.8  |
KOI8-R                  36870  |  66.8  66.8  77.9  69.0  69.0  |  95.9  95.9  95.9  98.2  98.2  |  52.9  55.7  80.2  58.0  58.0  |
KOI8-U                  36845  |   0.0  59.5  73.6  19.1  19.2  |   0.0  97.1  97.1  33.0  33.1  |  59.3  64.5  82.7  65.7  65.7  |
Shift_JIS               36883  |   0.0   0.0   2.7   7.0   7.6  |  66.9  66.9  66.9  74.2  74.8  |  39.4  39.4  39.5  46.7  46.7  |
UTF-16-BE               36789  |  36.0  36.0  38.3  36.0  36.0  |   0.0   0.0   0.0   0.0   0.0  |  94.9  95.0  95.0  94.9  94.9  |
UTF-16-LE               36730  |  36.8  36.8  39.0  36.8  36.8  |   0.0   0.0   0.0   0.0   0.0  |  94.8  94.9  94.9  94.8  94.8  |
